ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
6,"$35,000-$39,999",2013,"2013",1552,352,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.03323055841041452
9,"$50,000-$59,999",2013,"2013",9249964,20676,"United States","01000US","united-states",0.08000991884661819
2,"$15,000-$19,999",2013,"2013",3309,472,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.07085046248715314
12,"$100,000-$124,999",2013,"2013",2242,384,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.048004453579993146
2,"$15,000-$19,999",2013,"2013",6236898,17145,"United States","01000US","united-states",0.05394763729184625
0,"< $10,000",2013,"2013",8380364,19177,"United States","01000US","united-states",0.07248809222880441
7,"$40,000-$44,999",2013,"2013",1957,366,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.041902192531688934
15,"$200,000+",2013,"2013",5532628,32847,"United States","01000US","united-states",0.04785587460540684
13,"$125,000-$149,999",2013,"2013",2032,303,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.043508050702295305
12,"$100,000-$124,999",2013,"2013",9285899,44286,"United States","01000US","united-states",0.08032074777889871
3,"$20,000-$24,999",2013,"2013",2389,392,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.05115193559438164
6,"$35,000-$39,999",2013,"2013",5410067,15255.999999999998,"United States","01000US","united-states",0.04679575202938813
8,"$45,000-$49,999",2013,"2013",1705,289,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.03650650907845152
14,"$150,000-$199,999",2013,"2013",2016,305,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.04316546762589928
3,"$20,000-$24,999",2013,"2013",6231706,17720,"United States","01000US","united-states",0.053902727765857646
10,"$60,000-$74,999",2013,"2013",11494081,28807.999999999996,"United States","01000US","united-states",0.09942098023586428
8,"$45,000-$49,999",2013,"2013",4847697,14804,"United States","01000US","united-states",0.04193138952356944
4,"$25,000-$29,999",2013,"2013",2407,465.99999999999994,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.05153734155532717
15,"$200,000+",2013,"2013",3121,376,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.06682511133949982
9,"$50,000-$59,999",2013,"2013",2686,366,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.05751113394998287
13,"$125,000-$149,999",2013,"2013",5572340,31574,"United States","01000US","united-states",0.04819937366088824
5,"$30,000-$34,999",2013,"2013",6000199,15505.999999999998,"United States","01000US","united-states",0.05190024902297562
0,"< $10,000",2013,"2013",7951,661,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.1702423775265502
